iter	Passed	Remaining
0	207	206882
1	226	113152
2	248	82596
3	269	66983
4	289	57636
5	308	51085
6	325	46198
7	342	42495
8	359	39557
9	377	37349
10	402	36174
11	421	34711
12	439	33336
13	457	32238
14	478	31391
15	495	30465
16	513	29682
17	531	29023
18	558	28850
19	581	28513
20	601	28042
21	622	27661
22	642	27294
23	661	26902
24	682	26602
25	702	26315
26	722	26019
27	741	25737
28	777	26030
29	819	26513
30	845	26418
31	870	26342
32	895	26252
33	921	26179
34	943	26008
35	966	25877
36	992	25828
37	1013	25652
38	1036	25539
39	1057	25388
40	1081	25305
41	1103	25176
42	1134	25250
43	1158	25165
44	1180	25045
45	1198	24858
46	1215	24654
47	1235	24506
48	1253	24332
49	1275	24229
50	1296	24124
51	1316	23997
52	1336	23875
53	1358	23800
54	1378	23678
55	1410	23772
56	1429	23644
57	1448	23529
58	1465	23373
59	1482	23226
60	1499	23089
61	1520	23006
62	1541	22931
63	1565	22894
64	1587	22829
65	1606	22731
66	1625	22629
67	1644	22538
68	1665	22466
69	1680	22332
70	1697	22205
71	1713	22083
72	1729	21967
73	1745	21842
74	1766	21788
75	1787	21734
76	1806	21658
77	1828	21608
78	1847	21543
79	1869	21498
80	1888	21428
81	1905	21335
82	1922	21243
83	1939	21153
84	1958	21086
85	1976	21007
86	1994	20934
87	2011	20847
88	2027	20757
89	2047	20701
90	2067	20653
91	2087	20606
92	2107	20556
93	2127	20507
94	2146	20451
95	2166	20403
96	2189	20378
97	2209	20336
98	2226	20267
99	2243	20194
100	2263	20145
101	2281	20086
102	2297	20012
103	2314	19943
104	2331	19876
105	2348	19805
106	2365	19738
107	2380	19663
108	2403	19644
109	2421	19594
110	2441	19551
111	2462	19523
112	2482	19484
113	2503	19454
114	2523	19417
115	2543	19384
116	2562	19339
117	2580	19286
118	2595	19215
119	2616	19190
120	2627	19090
121	2636	18972
122	2644	18852
123	2651	18733
124	2659	18614
125	2667	18501
126	2675	18390
127	2684	18291
128	2692	18180
129	2700	18071
130	2708	17967
131	2717	17867
132	2727	17781
133	2736	17684
134	2745	17592
135	2754	17501
136	2763	17410
137	2771	17310
138	2779	17216
139	2786	17118
140	2795	17031
141	2802	16936
142	2812	16857
143	2820	16766
144	2828	16680
145	2836	16589
146	2844	16506
147	2852	16419
148	2860	16338
149	2896	16412
150	2911	16370
151	2920	16294
152	2928	16213
153	2935	16128
154	2944	16051
155	2951	15969
156	2959	15892
157	2966	15811
158	2976	15742
159	2983	15665
160	2993	15598
161	3000	15521
162	3008	15449
163	3016	15374
164	3025	15311
165	3032	15237
166	3040	15167
167	3048	15095
168	3056	15026
169	3063	14955
170	3071	14890
171	3079	14823
172	3087	14759
173	3095	14694
174	3104	14634
175	3112	14570
176	3120	14510
177	3128	14447
178	3137	14388
179	3144	14325
180	3153	14268
181	3160	14206
182	3168	14146
183	3176	14085
184	3184	14027
185	3191	13966
186	3198	13907
187	3208	13857
188	3216	13803
189	3224	13744
190	3231	13689
191	3239	13632
192	3246	13575
193	3254	13520
194	3261	13466
195	3269	13413
196	3278	13364
197	3287	13314
198	3294	13262
199	3302	13211
200	3311	13163
201	3319	13113
202	3326	13061
203	3334	13012
204	3343	12964
205	3351	12916
206	3358	12865
207	3366	12817
208	3373	12767
209	3381	12722
210	3389	12673
211	3398	12630
212	3405	12582
213	3415	12543
214	3423	12499
215	3431	12454
216	3438	12406
217	3446	12364
218	3454	12318
219	3462	12276
220	3469	12230
221	3477	12187
222	3484	12142
